auction_name,auction_role,auction_country,player_id,matched_registry_name,tier,confidence,note
Bipin Saurabh,WICKETKEEPER,India,4cb5e3d1,Bipin Saurabh,1-exact,,
Tanay Thyagarajann,WICKETKEEPER,India,f1809c03,Tanay Thyagarajan,2-fuzzy,97.1,
Money Grewal,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 77.8: MA Agarwal
Ashwani Kumar,BOWLER,India,d45c29b1,Ashwani Kumar,1-exact,,
Ishan Porel,BOWLER,India,fdf7491e,IC Porel,2-fuzzy,93.3,
Abhilash Shetty,BOWLER,India,d0bec581,AR Shetty,2-fuzzy,94.1,
Akash Singh,BOWLER,India,,,3-collision,,reverted: another auction player also claimed registry id b483905d
Gurjapneet Singh,BOWLER,India,cc61ee8f,Gurjapneet Singh,1-exact,,
Basil Thampi,BOWLER,India,871e9faf,Basil Thampi,1-exact,,
Murugan Ashwin,BOWLER,India,e2db2409,M Ashwin,1b-abbrev-exact,,
Shreyas Chavan,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 77.8: MSR Charan
Chintal Gandhi,BOWLER,India,c5eff91b,Chinta Gandhi,2-fuzzy,96.3,
Raghav Goyal,BOWLER,India,266849c1,R Goyal,1b-abbrev-exact,,
Jagadeesha Suchith,BOWLER,India,4125d931,J Suchith,1b-abbrev-exact,,
Roshan Waghsare,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 69.0: Akshay Wakhare
Bailapudi Yeswanth,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 73.7: B Sumanth
Sediqullah Atal,BATTER,Afghanistan,3c28853f,Sediqullah Atal,1-exact,,
Matthew Breetzke,BATTER,South Africa,35f173a0,MP Breetzke,2-fuzzy,95.2,
Mark Chapman,BATTER,New Zealand,7fa12533,MS Chapman,2-fuzzy,94.7,
Brandon King,BATTER,West Indies,7fca84b7,BA King,2-fuzzy,92.3,
Evin Lewis,BATTER,West Indies,0ebfb1ad,E Lewis,1b-abbrev-exact,,
Pathum Nissanka,BATTER,Sri Lanka,8ee36b18,P Nissanka,1b-abbrev-exact,,
Bhanuka Rajapaksa,BATTER,Sri Lanka,6c882e9a,PBB Rajapaksa,2-fuzzy,91.7,
Steve Smith,BATTER,Australia,,,3-country-conflict,,reverted: S Smith matched to Bermuda; real Steve Smith is SPD Smith but no safe auto-match to it
